Action,Source,Target
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2817 _ Lomandra.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_162614.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2818 - Lomandra.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_162627.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2819 - Lomandra.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_162648.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2820.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_162702.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2821.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_162705.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2940.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4c_NE_20250922_144717.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2941.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4c_NE_20250922_144720.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2947.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4b_NW_20250923_094930.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2948 - prob Banksia littoralis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4b_NE_20250923_133743.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2949 prob Banksia littoralis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4b_NE_20250923_133747.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2950.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4b_NE_20250923_133756.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2951.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4b_NE_20250923_133802.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2952.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4b_NE_20250923_133807.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2953 prob Banksia littoralis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4b_NE_20250923_134104.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2954 prob Banksia littoralis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4b_NE_20250923_134126.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2955 prob Banksia littoralis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4b_NE_20250923_134145.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2956 - Adenanthos obovatus.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4b_SE_20250923_150528.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2965.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4a_NW_20250924_130927.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2966.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW4a_NW_20250924_130948.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2981 - prob orchid.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3a_SE_20250925_111307.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2982 - prob orchid.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3a_SE_20250925_111343.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2983 - Hibbertia amplexicaulis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3a_SE_20250925_115159.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2984 - Hibbertia amplexicaulis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3a_SE_20250925_115208.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2985 - Hibbertia amplexicaulis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3a_SE_20250925_115213.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2986 - Hibbertia amplexicaulis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3a_SE_20250925_115220.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2987 - prob Hibbertia amplexicaulis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3a_SE_20250925_115245.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2988.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3a_SE_20250925_123120.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2989.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3a_SE_20250925_123500.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2990.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3a_SE_20250925_123505.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2992 - Tetratheca.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3b_NW_20250926_131032.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2993 - Tetratheca.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3b_NW_20250926_131042.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3004 - Borya.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2b_SW_20250930_170629.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3005 - Borya.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2b_SW_20250930_170701.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3006 - Borya.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2b_SW_20250930_170725.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3007 - Borya.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2b_SW_20250930_170728.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3008 - Borya.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2b_SW_20250930_170731.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3011.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_085758.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3012.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_093703.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3013.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_093708.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3014.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_093720.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3015.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_101626.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3016.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_101629.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3017.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_101723.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3018.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_103548.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3019.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_103551.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3020 - probs Dampiera linearis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_134528.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3021 - probs Dampiera linearis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_134534.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3022.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_134833.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3023.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_134841.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3024.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_134845.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3025.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_134848.jpg
