Action,Source,Target
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\PXL_20250901_043904919.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_NW_20250901_123904.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\PXL_20250901_070526892.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_150526.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\PXL_20250901_073845119.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_153845.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2817 _ Lomandra.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_162614.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2818 - Lomandra.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_162627.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2819 - Lomandra.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_162648.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2820.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_162702.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_2821.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SE_20250901_162705.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\PXL_20250902_034854866.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1a_SW_20250902_114854.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\PXL_20250903_005045923.PANO.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1c_SW_20250903_085052.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\PXL_20250904_065022917.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW1b_SW_20250904_145022.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\PXL_20250908_014602872.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNE4b_SE_20250908_094602.jpg
